disease_id,disease,n_cases,signature_herbs,signature_symptoms
Disease_6a4c94411f,咳嗽,37,瓜蒌仁、光杏仁、冬桑叶、新会皮、竹茹、前胡,咳嗽、胃钝、胸闷、口腻、痰多
Disease_500f2d696d,湿热,25,滑石、竹叶、广郁金、瓜蒌仁、枳实、佩兰叶,胃钝、肢懈、口腻、胸闷、便闭
Disease_ba394d0958,湿温,19,滑石、山栀、竹叶、苏薄荷、苏叶梗、杜藿梗,胃钝、头痛、胸闷、身热、口渴
Disease_43a753163f,湿热兼风,13,滑石、佩兰叶、广郁金、竹叶、苏薄荷、西茵陈,胃钝、头痛、肢懈、胸闷、身热
Disease_059ff1e96a,湿热夹食,13,滑石、佛手片、竹叶、莱菔子、打延胡、打鸡金,腹痛、胃钝、身热、便闭、胸闷
Disease_401b7c3b09,暑湿夹食,11,竹叶、山栀、桑枝、佩兰叶、枳壳、滑石,胃钝、身热、胸闷、口苦、口腻
Disease_6e56165d9a,湿热阻中,11,滑石、杜藿梗、佩兰叶、佛手片、广郁金、竹叶,胃钝、口腻、肢懈、口淡、口苦
Disease_d9f0570196,疟,11,滑石、山栀、竹叶、桑枝、苏叶梗、草果仁,口渴、胃钝、溺赤热、肢懈、便闭
Disease_fff073474c,暑湿兼风,10,滑石、冬桑叶、广郁金、桑枝、滁菊花、苏叶梗,胃钝、身热、头痛、寒热、肢懈
Disease_e45226c90e,肝风,8,明天麻、石决明、竹茹、东白薇、佩兰叶、冬桑叶,头晕、心跳、夜少寐、耳鸣、胃钝
Disease_b00e0a8d75,暑湿,7,竹叶、冬桑叶、滑石、苏薄荷、山栀、青蒿,胸闷、肢懈、胃钝、头晕、身热
Disease_9f2f7df256,肝阳犯胃,7,广郁金、竹茹、石决明、香附、代赭石、佛手片,呕酸、便溏、溺热、胸闷、脘痛
Disease_ebe013103d,肝火烁肺,6,安南子、青盐陈皮、海蛤壳、白前、竹茹、紫菀,咳痰带血、痰嗽、不得右卧、两腰疲痛、两足酸疼
Disease_ab6341dc19,肺痨,6,紫菀、海蛤壳、白前、东白薇、地骨皮、安南子,乍寒乍热、五心烦热、便溏、口燥、咳吐不爽
Disease_673102515a,久嗽,5,白前、紫菀、金橘脯、于术、佩兰叶、新会皮,气逆、面浮、中脘满、便溏泄泻、动则喘息
Disease_3fe9608e14,湿滞中焦,5,新会皮、杜藿梗、米仁、佛手片、桑枝、浙茯苓,肢懈、胃钝、两足酸痛、乏味、便如白沫
Disease_062b73f5ee,湿热夹肝气,5,广郁金、滑石、香附、竹茹、西茵陈、佛手片,胃钝、便不畅、口腻、心跳、肢懈
Disease_30dab058d9,肝火,5,海蛤壳、东白薇、冬桑叶、瓜蒌仁、竹茹、夏枯草,咳血、心跳、呕血、夜间有梦、头晕
Disease_9dfaf1f2ff,肝风上翔,5,石决明、明天麻、竹茹、丝通草、佩兰叶、元参心,头晕、心跳、胸闷、两足发抽、便溏不爽
Disease_30268bfa60,劳嗽,4,京川贝、天冬、杜兜铃、甘草、真柿霜、东白薇,失音、五心烦热、便溏、便溏如薄酱、便血
Disease_56764ab82d,暑湿兼寒,4,苏叶梗、葱白、光杏仁、香豉、新会皮、桔梗,头痛、肢懈、形寒、胃钝、身热
Disease_c723b95875,肝气犯胃,4,甘松、代赭石、石决明、竹茹、广郁金、延胡,呕酸、吐苦、脘痛、二便不利、气逆
Disease_9d5916ada5,肝胃不和,4,延胡、明乳香、瓦楞子、代赭石、广郁金、瓜蒌仁,便不畅、呕酸、二便不利、吐痰、咽阻
Disease_94b84d35be,肝胃气痛,4,明乳香、延胡、石决明、竹茹、代赭石、姜炒川连,呕酸、上逆、二便不利、便不畅、口腻
Disease_cd360e7264,冬温,3,青连翘、牛蒡子、瓜蒌皮、肥知母、莱菔、冬桑叶,便如红酱、口渴、咳嗽、嗳气、夜间口渴
Disease_92c21e3778,呕吐,3,广郁金、浙茯苓、滑石、石决明、竹沥半夏、竹茹,便不畅、便泄、口淡、呕吐、呕吐酸水
Disease_28ec1de5ea,喘,3,苏子、光杏仁、地骷髅、桑皮、瓜蒌仁、白前,两足浮软、二便不利、便不畅、口淡、咳嗽
Disease_b216bcb76f,干咳,3,安南子、冬桑叶、旋覆花、瓜蒌仁、甜杏仁、紫菀,喉痒、乍寒乍热、口腻、咳痰稀白、头胀
Disease_991f3a7232,泄泻,3,煨木香、于冬、保和丸、南芡实、原麦冬、太子参,口干、水泻、溺清、牙痛、粪中夹积
Disease_735ac27c1d,湿热夹肝风,3,佩兰叶、明天麻、滁菊花、杜藿梗、桑麻丸、滑石,口淡、胃钝、口淡而腻、咳痰稠粘、嗳气
Disease_6d2eac5841,湿热脚气,3,木香槟榔丸、滑石、地蛄蝼、山栀、桑枝、汉防己,便不畅、小便赤热、两足尤甚、二便不利、口淡而腻
Disease_260156a6a1,湿阻,3,新会皮、光杏仁、冬瓜皮、浙茯苓、竹沥半夏、五加皮,胃钝、下午发热、便泻、口淡、咳嗽
Disease_9f713203d6,痰湿热阻滞肺胃,3,滑石、瓜蒌仁、光杏仁、前胡、山栀、枳实,胃钝、胸闷、便不畅、便闭、咯痰
Disease_3ec121b5d9,肝郁,3,白芍、于毛术、代赭石、墨鱼骨、宽筋草、小京枣,久呕酸苦、头略痛、肠鸣、脘痛、腰脊酸疼
Disease_fb7c4a3834,肝郁犯胃,3,打延胡、旋覆花、枳实、浙茯苓、滑石、瓜蒌仁,便不畅、胃钝、便不爽、便黄黑、口腻
Disease_14e070824c,肺热,3,安南子、海蛤壳、冬桑叶、瓜蒌仁、紫菀、青盐陈皮,咳血、喉痒、咯痰尚稠、咳嗽、嗽稠痰
Disease_f6aeebe75e,胸闷,3,新会皮、枳实、滑石、瓜蒌仁、丝通草、佛手片,胸闷、气逆、便虽通尚不畅、咽阻、喉阻
Disease_4bce73c763,腹痛,3,明乳香、赤苓、乌梅炭、于术、代赭石、使君子肉,呕吐、呕苦、咽阻、有块攻起、气逆
Disease_c33b302700,中风,2,石决明、竹茹、丝瓜络、半夏、旋覆花、明天麻,口不能言、口歪于左、咯痰难、多稀涎、手臂关节痛
Disease_e846aac48b,久咳,2,冬桑叶、款冬花、甜杏仁、紫菀、野百合、杜兜铃,下午发热、便不爽、咯痰带血、咳痰带血、喉痛
Disease_a998f91f63,久泻,2,于术、白芍、乌梅、乌梅炭、使君子肉、党参,便溏、呕吐、溺短、片虫
Disease_6cac7c29f8,便泄,2,佩兰叶、新会白、滑石、米仁、丝瓜络、佛手片,便泄略减、便泄腹痛、口淡胃钝、口腻、右腿重痛
Disease_4491341576,便血,2,乌梅炭、京川贝、地榆炭、川楝子、月石、杜兜铃,便血、劳嗽、夜少寐、失音、溺微热
Disease_1398caa1bd,咳痰,2,安南子、海蛤壳、白芍、竹茹、东桑叶、京川贝,便时急、口苦舌燥、咯痰粘而不爽、咳痰稠粘而咸、夜少寐
Disease_c6da8f4f58,咳血,2,冬桑叶、瓜蒌仁、甜杏仁、安南子、川黄草、月石,咳吐不爽、咳血、喉痒、嗽稠痰、四肢酸疼
Disease_cfbf2da052,失音,2,京川贝、月石、杜兜铃、牛蒡子、甘草、白桔梗,便血、劳嗽、咳气不爽、夜少寐、失音
Disease_048419e46f,头痛,2,竹叶、苏叶梗、苏薄荷、青连翘、佩兰叶、保和丸,头痛、胃钝、下午热甚、发冷、口腻
